position,tyreLife,trackTemp,airTemp,humidity,rainfall,speedTrap,gapAhead,gapBehind,lapTime,pitLoss,_source_year,hasGapAhead,hasGapBehind,positions_lost,gap_to_physical_car,has_drop_zone_data,pace_drop_ratio,tire_life_ratio,pace_trend,gapAhead_trend,team_Alfa Romeo,team_AlphaTauri,team_Alpine,team_Aston Martin,team_Ferrari,team_Haas F1 Team,team_Kick Sauber,team_McLaren,team_Mercedes,team_RB,team_Racing Bulls,team_Red Bull Racing,team_Williams,team_nan,target_y
20,1,27.8,23.1,38,0,216.0,3.099,999.0,121.075,22.0,2022,1,0,0,999.0,0,1.0,0.03333333333333333,-0.019463340891912262,1.3120000000000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,2,27.7,23.1,38,0,299.0,3.507,6.113,99.517,22.0,2022,1,1,0,999.0,0,1.0,0.06666666666666667,-0.0418108763973426,-0.597,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,3,27.7,23.0,38,0,299.0,6.339,5.188,100.164,22.0,2022,1,1,0,999.0,0,1.0065014017705518,0.1,0.006501401770551807,3.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,4,27.8,22.9,38,0,304.0,5.905,4.578,100.265,22.0,2022,1,1,0,999.0,0,1.0075163037470984,0.13333333333333333,0.007516303747098441,2.398,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,5,27.9,22.9,38,0,302.0,4.469,4.625,100.225,22.0,2022,1,1,0,999.0,0,1.0071143623702483,0.16666666666666666,0.0006129605996965104,-1.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,6,27.7,22.8,37,0,304.0,5.125,0.027,100.8,22.0,2022,1,1,0,999.0,0,1.0128922696624698,0.2,0.005375965915371372,-0.7800000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,7,27.6,22.7,37,0,317.0,3.483,4.32,100.239,22.0,2022,1,1,0,999.0,0,1.007255041852146,0.23333333333333334,0.00014067948189766533,-0.9860000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,8,27.6,22.8,37,0,304.0,2.848,3.246,101.181,22.0,2022,1,1,5,0.556,1,1.0167207612769678,0.26666666666666666,0.003828491614497942,-2.277,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,9,27.5,22.8,37,0,309.0,8.182,0.788,100.816,22.0,2022,1,1,6,2.065000000000001,1,1.01305304621321,0.3,0.005798004361063924,4.699,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,10,27.5,22.8,36,0,302.0,8.282,0.662,100.736,22.0,2022,1,1,6,3.580999999999999,1,1.0122491634595094,0.3333333333333333,-0.004471597817458317,5.434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,11,27.5,22.8,36,0,300.0,8.797,0.378,100.669,22.0,2022,1,1,6,4.942999999999998,1,1.0115759116532854,0.36666666666666664,-0.0014771345599244867,0.6150000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,12,27.4,22.8,36,0,300.0,9.209,0.88,101.032,22.0,2022,1,1,5,6.286000000000001,1,1.0152235296482008,0.4,0.002974366188691402,0.9269999999999996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,13,27.4,22.8,36,0,303.0,1.094,2.063,101.628,22.0,2022,1,1,5,8.408000000000001,1,1.0212124561632687,0.43333333333333335,0.009636544509983302,-7.703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,14,27.4,22.8,36,0,302.0,3.745,4.752,102.053,22.0,2022,1,1,4,10.621,1,1.0254830832923019,0.4666666666666667,0.010259553644101027,-5.4639999999999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,15,27.4,22.9,36,0,307.0,4.9190000000000005,4.627,101.355,22.0,2022,1,1,4,9.325,1,1.0184692062662661,0.5,-0.0027432498970025865,3.825,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,16,27.3,22.9,36,0,300.0,6.37,3.749,101.505,22.0,2022,1,1,5,1.535999999999997,1,1.0199764864294543,0.5333333333333333,-0.005506596862847601,2.625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,17,27.3,22.9,36,0,302.0,6.54,3.376,101.02,22.0,2022,1,1,5,5.606999999999999,1,1.0151029472351458,0.5666666666666667,-0.003366259031120311,1.6209999999999996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,18,27.2,22.8,36,0,303.0,6.915,2.777,101.23,22.0,2022,1,1,5,7.6690000000000005,1,1.0172131394636093,0.6,-0.002763346965845015,0.5449999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,19,27.2,22.8,36,0,304.0,8.119,2.222,101.241,22.0,2022,1,1,5,9.645999999999999,1,1.017323673342243,0.6333333333333333,0.002220726107097226,1.5789999999999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,20,27.1,22.8,36,0,304.0,8.635,4.718,100.863,22.0,2022,1,1,4,10.543,1,1.0135253273310088,0.6666666666666666,-0.0036878121326004987,1.7199999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16,21,27.1,22.8,36,0,304.0,9.475,10.358,101.203,22.0,2022,1,1,3,7.774999999999999,1,1.0169418290342354,0.7,-0.000381844308007695,1.3559999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16,22,27.0,22.7,36,0,302.0,12.988,7.237,103.965,22.0,2022,1,1,3,7.774999999999999,1,1.0446958811057407,0.7333333333333333,0.03117055377473199,4.353,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,3,27.1,22.8,36,0,219.0,11.578,1.56,123.311,22.0,2022,1,1,0,999.0,0,1.0,0.1,-0.016941829034235356,2.1029999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,4,27.0,22.8,35,0,299.0,7.2620000000000005,1.737,99.165,22.0,2022,1,1,0,999.0,0,1.0,0.13333333333333333,-0.04469588110574074,-5.725999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,5,27.0,22.8,35,0,304.0,14.264,1.718,99.127,22.0,2022,1,1,0,999.0,0,1.0,0.16666666666666666,0.0,2.686,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,6,26.9,22.7,36,0,304.0,7.236,1.423,99.025,22.0,2022,1,1,0,999.0,0,1.0,0.2,0.0,-0.02600000000000069,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,7,26.8,22.7,36,0,305.0,8.515,1.4060000000000001,99.14,22.0,2022,1,1,0,999.0,0,1.0011613228982579,0.23333333333333334,0.0011613228982578772,-5.748999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,8,26.9,22.7,36,0,295.0,8.085,1.637,99.285,22.0,2022,1,1,4,7.540000000000001,1,1.0026255995960616,0.26666666666666666,0.0026255995960615675,0.8490000000000011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,9,27.0,22.7,36,0,303.0,10.565,0.177,99.255,22.0,2022,1,1,5,7.124,1,1.002322645796516,0.3,0.0011613228982580992,2.049999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,10,26.7,22.7,36,0,303.0,10.428,0.273,99.325,22.0,2022,1,1,5,6.227,1,1.0030295379954557,0.3333333333333333,0.00040393839939412146,2.343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,13,26.6,22.7,37,0,251.0,999.0,139.735,132.997,22.0,2022,0,1,0,999.0,0,1.3430648826054028,0.43333333333333335,0.3407422368088868,988.435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,4,26.6,22.6,36,0,224.0,999.0,999.0,141.354,22.0,2022,0,0,0,999.0,0,1.0,0.2222222222222222,-0.003029537995455689,988.572,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,8,26.5,22.4,36,0,304.0,2.047,16.27,97.702,22.0,2022,1,1,5,18.311,1,1.0,0.4444444444444444,-0.3430648826054028,-996.953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,9,26.3,22.4,36,0,304.0,2.142,16.333,97.717,22.0,2022,1,1,5,17.429,1,1.0001535280751674,0.5,0.0001535280751674417,-996.858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,10,26.4,22.4,35,0,304.0,1.537,16.735,98.073,22.0,2022,1,1,5,17.05,1,1.003797261059139,0.5555555555555556,0.0037972610591390232,-0.5100000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,11,26.3,22.4,36,0,304.0,2.016,16.971,98.356,22.0,2022,1,1,5,16.873,1,1.0066938240772962,0.6111111111111112,0.006540296002128798,-0.1259999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,12,26.3,22.4,35,0,305.0,2.5140000000000002,17.158,98.826,22.0,2022,1,1,5,16.463,1,1.0115043704325397,0.6666666666666666,0.007707109373400689,0.9770000000000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,13,26.3,22.3,36,0,304.0,2.887,17.5,99.202,22.0,2022,1,1,0,999.0,0,1.0153528075167346,0.7222222222222222,0.008658983439438384,0.871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,14,26.3,22.3,36,0,295.0,2.624,17.548000000000002,100.132,22.0,2022,1,1,0,999.0,0,1.02487154817711,0.7777777777777778,0.013367177744570302,0.10999999999999988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,5,29.0,23.8,26,0,288.0,0.243,0.301,100.412,22.0,2022,1,1,0,999.0,0,1.0,0.2777777777777778,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,6,29.0,23.8,27,0,291.0,0.501,0.279,100.226,22.0,2022,1,1,0,999.0,0,1.0,0.3333333333333333,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,7,28.7,23.8,29,0,294.0,0.44,0.167,100.097,22.0,2022,1,1,0,999.0,0,1.0,0.3888888888888889,0.0,0.197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,8,28.5,23.8,33,0,293.0,0.656,0.149,100.465,22.0,2022,1,1,12,15.277999999999999,1,1.0036764338591566,0.4444444444444444,0.0036764338591566137,0.15500000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,28.3,23.7,33,0,292.0,0.84,0.249,100.658,22.0,2022,1,1,12,13.322000000000001,1,1.005604563573334,0.5,0.005604563573333943,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10,28.3,23.6,34,0,298.0,1.23,0.29,100.823,22.0,2022,1,1,12,11.852,1,1.0072529646243145,0.5555555555555556,0.003576530765157848,0.574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,28.1,23.5,35,0,298.0,2.219,0.30000000000000004,102.371,22.0,2022,1,1,11,12.328999999999999,1,1.0227179635753318,0.6111111111111112,0.017113400001997903,1.379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,12,28.0,23.4,36,0,294.0,2.848,0.248,101.448,22.0,2022,1,1,11,11.030999999999999,1,1.0134969079992406,0.6666666666666666,0.006243943374926175,1.6179999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,13,28.0,23.3,36,0,292.0,3.729,0.9390000000000001,101.873,22.0,2022,1,1,11,10.127,1,1.0177427894941908,0.7222222222222222,-0.0049751740811410095,1.5100000000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11,14,28.0,23.3,36,0,291.0,3.891,1.8,104.265,22.0,2022,1,1,10,11.751000000000001,1,1.0416396095787088,0.7777777777777778,0.028142701579468188,1.0430000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1,27.9,23.2,37,0,217.0,6.694,999.0,120.053,22.0,2022,1,0,0,999.0,0,1.0,0.03333333333333333,-0.017742789494190836,2.965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2,27.8,23.1,37,0,295.0,5.364,4.772,99.05,22.0,2022,1,1,0,999.0,0,1.0,0.06666666666666667,-0.041639609578708825,1.4729999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,3,27.8,23.1,38,0,306.0,7.245,2.641,99.704,22.0,2022,1,1,0,999.0,0,1.0066027258960122,0.1,0.006602725896012185,0.5510000000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,4,27.7,23.1,38,0,292.0,5.626,1.353,100.256,22.0,2022,1,1,0,999.0,0,1.0121756688541141,0.13333333333333333,0.012175668854114141,0.26200000000000045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,5,27.7,23.0,38,0,317.0,0.514,3.606,100.572,22.0,2022,1,1,0,999.0,0,1.0153659767794043,0.16666666666666666,0.008763250883392137,-6.731,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,6,27.8,23.0,38,0,292.0,1.08,1.182,99.434,22.0,2022,1,1,0,999.0,0,1.003876829883897,0.2,-0.008298838970217215,-4.546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,7,27.9,22.9,38,0,291.0,2.001,5.337,99.809,22.0,2022,1,1,0,999.0,0,1.00766279656739,0.23333333333333334,-0.007703180212014216,1.4869999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,8,27.7,22.8,37,0,291.0,2.37,3.9939999999999998,99.785,22.0,2022,1,1,10,0.683999999999997,1,1.0074204946996466,0.26666666666666666,0.0035436648157496364,1.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,27.7,22.7,38,0,292.0,3.11,3.037,99.874,22.0,2022,1,1,9,0.068999999999999,1,1.008319030792529,0.3,0.0006562342251388298,1.109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10,27.6,22.8,37,0,291.0,4.114,2.133,100.087,22.0,2022,1,1,9,0.049000000000003006,1,1.0104694598687531,0.3333333333333333,0.0030489651691065767,1.7439999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,11,27.5,22.8,37,0,291.0,5.466,0.933,100.504,22.0,2022,1,1,9,0.897999999999996,1,1.0146794548207976,0.36666666666666664,0.006360424028268641,2.3560000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,12,27.5,22.8,36,0,291.0,6.078,0.506,99.922,22.0,2022,1,1,9,1.009,1,1.0088036345280162,0.4,-0.0016658253407368928,1.9640000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,13,27.5,22.8,36,0,291.0,7.211,0.10400000000000001,100.496,22.0,2022,1,1,8,1.617999999999998,1,1.0145986875315498,0.43333333333333335,-8.076728924777399e-05,1.745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,14,27.4,22.8,36,0,291.0,2.662,1.6440000000000001,102.836,22.0,2022,1,1,7,4.68,1,1.0382231196365472,0.4666666666666667,0.029419485108530985,-3.4160000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,27.5,22.8,35,0,214.0,11.384,1.094,120.922,22.0,2022,1,1,0,999.0,0,1.0,0.025,-0.014598687531549803,4.173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2,27.4,22.8,36,0,290.0,8.392,0.781,97.995,22.0,2022,1,1,0,999.0,0,1.0,0.05,-0.03822311963654723,5.7299999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,3,27.4,22.9,36,0,290.0,6.61,0.492,98.908,22.0,2022,1,1,0,999.0,0,1.0093168018776468,0.075,0.00931680187764683,-4.774,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,4,27.3,22.9,36,0,292.0,4.371,1.866,98.68,22.0,2022,1,1,0,999.0,0,1.006990152558804,0.1,0.006990152558804086,-4.020999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5,27.3,22.9,36,0,315.0,16.256,1.391,98.626,22.0,2022,1,1,0,999.0,0,1.0064391040359202,0.125,-0.0028776978417266452,9.646,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,6,27.2,22.8,36,0,290.0,15.466,0.5650000000000001,98.958,22.0,2022,1,1,0,999.0,0,1.009827031991428,0.15,0.0028368794326238955,11.094999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7,27.2,22.8,36,0,290.0,14.805,4.456,99.153,22.0,2022,1,1,0,999.0,0,1.0118169294351753,0.175,0.005377825399255132,-1.4510000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,8,27.2,22.8,36,0,291.0,0.929,2.88,99.686,22.0,2022,1,1,7,1.114999999999998,1,1.017255982448084,0.2,0.007428950456656036,-14.536999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,9,27.1,22.8,36,0,295.0,2.813,1.827,99.208,22.0,2022,1,1,6,3.838000000000001,1,1.0123781825603346,0.225,0.0005612531251593111,-11.991999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,10,27.0,22.7,36,0,293.0,1.94,0.92,99.214,22.0,2022,1,1,5,12.075,1,1.0124394101739884,0.25,-0.0048165722740955985,1.011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,27.0,22.8,36,0,293.0,4.049,0.046,99.389,22.0,2022,1,1,4,10.98,1,1.014225215572223,0.275,0.001847033011888266,1.2360000000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,12,27.1,22.8,36,0,292.0,9.196,0.529,99.426,22.0,2022,1,1,5,9.919,1,1.0146027858564213,0.3,0.0021633756824328554,7.256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,13,27.0,22.8,35,0,288.0,2.3529999999999998,1.437,100.034,22.0,2022,1,1,5,6.058,1,1.0208071840400021,0.325,0.006581968467779253,-1.6960000000000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,14,27.0,22.8,35,0,294.0,3.75,2.534,100.009,22.0,2022,1,1,6,6.195999999999998,1,1.0205520689831113,0.35,0.005949283126690075,-5.446,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,15,26.8,22.7,36,0,293.0,4.452,1.5430000000000001,100.295,22.0,2022,1,1,4,3.859999999999999,1,1.0234705852339405,0.375,0.002663401193938375,2.099,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,16,26.9,22.7,36,0,295.0,5.6129999999999995,3.71,99.854,22.0,2022,1,1,4,5.763999999999999,1,1.0189703556303893,0.4,-0.0015817133527220584,1.8629999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,17,26.9,22.7,36,0,294.0,9.137,4.588,102.925,22.0,2022,1,1,3,9.73,1,1.0503086892188376,0.425,0.026838103984897055,4.6850000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,26.9,22.7,36,0,221.0,6.524,10.82,117.366,22.0,2022,1,1,0,999.0,0,1.0,0.05555555555555555,-0.01897035563038929,0.9110000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2,26.7,22.7,36,0,293.0,4.978,34.015,96.733,22.0,2022,1,1,0,999.0,0,1.0,0.1111111111111111,-0.05030868921883758,-4.159000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,9,26.5,22.4,36,0,309.0,123.263,3.456,99.006,22.0,2022,1,1,2,25.456000000000003,1,1.0234976688410367,0.5,0.023497668841036656,116.739,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,10,26.5,22.4,37,0,296.0,123.2,99.98,97.538,22.0,2022,1,1,0,999.0,0,1.0083218756784138,0.5555555555555556,0.008321875678413804,118.22200000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,26.4,22.4,35,0,297.0,122.908,99.746,97.396,22.0,2022,1,1,0,999.0,0,1.006853917484209,0.6111111111111112,-0.016643751356827607,-0.355000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,12,26.5,22.4,36,0,298.0,122.873,99.69,97.303,22.0,2022,1,1,0,999.0,0,1.0058925082443426,0.6666666666666666,-0.0024293674340711835,-0.3269999999999982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,13,26.3,22.4,36,0,299.0,122.465,99.15,97.672,22.0,2022,1,1,0,999.0,0,1.0097071320025224,0.7222222222222222,0.0028532145183133295,-0.44299999999999784,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,14,26.3,22.3,36,0,299.0,122.388,98.662,97.642,22.0,2022,1,1,0,999.0,0,1.0093969999896621,0.7777777777777778,0.003504491745319527,-0.48499999999999943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,15,26.3,22.4,36,0,281.0,122.293,98.617,98.986,22.0,2022,1,1,0,999.0,0,1.0232909141657967,0.8333333333333334,0.013583782163274272,-0.17199999999999704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,5,29.0,23.8,26,0,293.0,0.095,0.26,100.817,22.0,2022,1,1,0,999.0,0,1.0,0.2777777777777778,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,28.8,23.8,29,0,294.0,0.08,0.166,100.732,22.0,2022,1,1,0,999.0,0,1.0,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,28.7,23.8,29,0,310.0,0.044,0.228,101.127,22.0,2022,1,1,0,999.0,0,1.0039212961124568,0.3888888888888889,0.00392129611245684,-0.051000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,28.5,23.8,33,0,310.0,0.188,1.114,101.817,22.0,2022,1,1,7,18.571,1,1.0107711551443432,0.4444444444444444,0.010771155144343236,0.108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,28.3,23.6,34,0,308.0,0.853,1.6320000000000001,101.003,22.0,2022,1,1,8,16.96,1,1.0026903069531032,0.5,-0.0012309891593536015,0.8089999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,28.3,23.6,34,0,309.0,1.127,1.323,101.287,22.0,2022,1,1,8,15.954,1,1.0055096692213001,0.5555555555555556,-0.005261485923043097,0.9390000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11,28.1,23.5,35,0,324.0,3.037,2.618,101.606,22.0,2022,1,1,9,15.666,1,1.0086764881070562,0.6111111111111112,0.005986181153952996,2.184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,28.0,23.4,36,0,288.0,2.723,4.181,100.586,22.0,2022,1,1,9,13.505999999999998,1,1.0,0.6666666666666666,-0.00550966922130014,1.5959999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,28.0,23.3,36,0,291.0,2.329,1.404,100.788,22.0,2022,1,1,9,11.517000000000001,1,1.0020082317618755,0.7222222222222222,-0.006668256345180756,-0.7079999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,28.0,23.3,36,0,291.0,1.8,1.3860000000000001,101.075,22.0,2022,1,1,9,9.951000000000002,1,1.0048615115423618,0.7777777777777778,0.004861511542361807,-0.9229999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,27.9,23.2,37,0,292.0,2.068,1.5939999999999999,101.073,22.0,2022,1,1,11,1.219999999999998,1,1.004841628059571,0.8333333333333334,0.002833396297695412,-0.2610000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,16,27.8,23.1,37,0,293.0,2.022,9.664,101.291,22.0,2022,1,1,10,5.845000000000002,1,1.007008927683773,0.8888888888888888,0.002147416141411229,0.22199999999999975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,17,27.8,23.1,38,0,293.0,5.237,0.848,103.736,22.0,2022,1,1,0,999.0,0,1.0313164853955819,0.9444444444444444,0.02647485733601096,3.169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,27.7,23.1,38,0,219.0,0.322,5.979,120.669,22.0,2022,1,1,0,999.0,0,1.0,0.03333333333333333,-0.007008927683773036,-1.6999999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,27.7,23.0,38,0,298.0,2.464,5.126,100.259,22.0,2022,1,1,0,999.0,0,1.0,0.06666666666666667,-0.03131648539558185,-2.773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,27.8,23.0,38,0,311.0,0.178,0.459,100.103,22.0,2022,1,1,0,999.0,0,1.0,0.1,0.0,-0.14400000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
